City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pudozh,61.81,36.53,41.86,98,100,3.47,RU,10/23/20
Aripuanã,-9.17,-60.63,91.45,46,100,3.04,BR,10/23/20
São Raimundo Nonato,-9.02,-42.7,96.12,24,1,9.71,BR,10/23/20
Yerköy,39.64,34.47,65.48,35,0,2.71,TR,10/23/20
Katangli,51.71,143.23,47.84,94,100,37.18,RU,10/23/20
Nhulunbuy,-12.23,136.77,77.0,88,100,3.36,AU,10/23/20
Acapulco de Juárez,16.86,-99.89,86.0,74,75,8.05,MX,10/23/20
Emba,48.83,58.14,36.16,71,98,10.27,KZ,10/23/20
Waingapu,-9.66,120.26,79.43,77,66,3.29,ID,10/23/20
Gölköy,40.69,37.62,60.8,100,20,4.47,TR,10/23/20
Aitape,-3.14,142.35,77.36,82,85,2.19,PG,10/23/20
Khatanga,71.97,102.5,7.56,95,100,6.55,RU,10/23/20
Karratha,-20.74,116.85,66.36,71,0,12.66,AU,10/23/20
Tautira,-17.73,-149.15,82.4,69,20,14.99,PF,10/23/20
Fukuechō,32.69,128.84,59.54,71,96,25.39,JP,10/23/20
Ursulo Galván,22.73,-98.3,95.0,42,0,1.99,MX,10/23/20
Port Lincoln,-34.73,135.87,55.11,72,93,14.94,AU,10/23/20
Preeceville,51.95,-102.67,23.16,90,95,11.34,CA,10/23/20
Port Elizabeth,-33.92,25.57,68.0,88,1,12.75,ZA,10/23/20
Diamantino,-14.41,-56.45,96.49,33,69,4.94,BR,10/23/20
College,64.86,-147.8,21.0,77,75,4.29,US,10/23/20
Novikovo,51.15,37.89,56.66,75,100,8.01,RU,10/23/20
Salinópolis,-0.61,-47.36,83.91,66,71,12.71,BR,10/23/20
Nanpiao,41.1,120.75,39.36,63,0,3.67,CN,10/23/20
Staritsa,56.51,34.94,49.05,86,18,11.21,RU,10/23/20
Pindorama,-21.19,-48.91,85.66,50,57,9.31,BR,10/23/20
Saint-Augustin,51.23,-58.65,41.05,62,29,6.62,CA,10/23/20
Westport,41.14,-73.36,68.0,88,90,8.05,US,10/23/20
Jalu,29.03,21.55,70.36,54,55,11.92,LY,10/23/20
Kłobuck,50.9,18.94,54.0,90,100,10.0,PL,10/23/20
Donetsk,48.0,37.8,58.14,80,66,9.8,UA,10/23/20
Nānākuli,21.39,-158.15,82.4,74,40,10.29,US,10/23/20
Želiezovce,48.05,18.65,52.0,94,99,4.0,SK,10/23/20
Avera,33.19,-82.53,80.6,61,75,3.36,US,10/23/20
Mtwara,-10.27,40.18,77.0,83,20,8.61,TZ,10/23/20
Lethem,3.38,-59.8,99.37,31,11,6.78,GY,10/23/20
Terney,45.05,136.61,36.57,78,100,13.56,RU,10/23/20
Puksoozero,62.59,40.61,34.95,99,100,3.62,RU,10/23/20
Garissa,-0.45,39.64,81.21,60,96,22.79,KE,10/23/20
Olafsvik,64.89,-23.71,42.94,79,79,26.19,IS,10/23/20
Honiara,-9.43,159.95,71.6,100,40,2.24,SB,10/23/20
Buraidah,26.33,43.98,69.8,22,0,4.7,SA,10/23/20
Pascagoula,30.37,-88.56,87.8,62,75,11.41,US,10/23/20
Tuatapere,-46.13,167.68,51.8,74,100,8.68,NZ,10/23/20
Buckingham,52.0,-0.99,51.01,82,74,7.29,GB,10/23/20
Lesnoye,58.28,35.52,48.34,86,89,10.33,RU,10/23/20
Gijang,35.24,129.21,46.4,50,0,8.05,KR,10/23/20
Road Town,18.42,-64.62,87.8,70,75,11.41,VG,10/23/20
Parabel',58.7,81.48,30.22,99,100,3.36,RU,10/23/20
Qasigiannguit,68.82,-51.19,21.2,67,75,4.7,GL,10/23/20
Sisimiut,66.94,-53.67,25.07,90,59,6.26,GL,10/23/20
Springdale,36.19,-94.13,45.0,100,90,11.41,US,10/23/20
Hauterive,46.09,3.45,57.2,67,90,3.36,FR,10/23/20
Uusikaupunki,60.8,21.41,32.0,70,0,3.36,FI,10/23/20
Guarapari,-20.67,-40.5,71.6,88,90,6.93,BR,10/23/20
Ojinaga,29.57,-104.42,87.8,19,1,7.05,MX,10/23/20
Vilhena,-12.74,-60.15,93.07,35,100,1.99,BR,10/23/20
Marzuq,14.4,46.47,66.29,24,0,2.04,YE,10/23/20
Port Hawkesbury,45.62,-61.35,53.01,50,1,5.82,CA,10/23/20
Baripāda,21.93,86.72,76.93,78,4,5.28,IN,10/23/20
São João da Barra,-21.64,-41.05,80.6,51,0,13.87,BR,10/23/20
Sorong,-0.88,131.25,81.21,81,96,1.63,ID,10/23/20
Gravelbourg,49.88,-106.55,17.37,89,0,3.96,CA,10/23/20
Barretos,-20.56,-48.57,83.62,57,8,8.3,BR,10/23/20
Los Palmitos,9.38,-75.27,83.44,81,100,7.36,CO,10/23/20
Vestmannaeyjar,63.44,-20.27,45.34,69,98,20.85,IS,10/23/20
Broome,42.25,-75.83,75.99,56,75,14.99,US,10/23/20
Pitimbu,-7.47,-34.81,82.4,74,40,16.11,BR,10/23/20
Hvide Sande,56.0,8.13,54.0,77,100,5.01,DK,10/23/20
Lodja,-3.48,23.43,71.47,95,3,2.24,CD,10/23/20
Bubaque,11.28,-15.83,84.96,73,0,9.66,GW,10/23/20
Peniche,39.36,-9.38,59.0,83,9,3.49,PT,10/23/20
Pozo Colorado,-23.49,-58.8,89.8,49,72,10.83,PY,10/23/20
Mackay,-21.15,149.2,75.2,83,93,6.93,AU,10/23/20
Goderich,43.75,-81.72,75.0,81,62,15.01,CA,10/23/20
Ahipara,-35.17,173.17,60.46,90,86,5.59,NZ,10/23/20
Antalaha,-14.9,50.28,70.77,83,2,6.73,MG,10/23/20
Tanete,-3.94,119.78,75.25,90,2,1.57,ID,10/23/20
Tucupita,9.06,-62.05,85.8,72,71,6.78,VE,10/23/20
Oranjestad,12.52,-70.03,91.4,63,40,17.22,AW,10/23/20
Kidal,18.44,1.41,89.62,12,0,11.16,ML,10/23/20
Huarmey,-10.07,-78.15,69.31,65,58,10.18,PE,10/23/20
Laguna,38.42,-121.42,73.0,17,1,6.93,US,10/23/20
Wanaka,-44.7,169.15,47.77,65,22,3.98,NZ,10/23/20
Guerrero Negro,27.98,-114.06,73.9,57,1,12.93,MX,10/23/20
Yar-Sale,66.83,70.83,18.75,93,77,8.46,RU,10/23/20
Maïné Soroa,13.21,12.02,88.36,13,25,7.31,NE,10/23/20
Pemangkat,1.17,108.97,79.23,77,100,1.05,ID,10/23/20
Sakakah,29.97,40.21,69.8,15,0,4.7,SA,10/23/20
Itarema,-2.92,-39.92,83.88,66,11,18.3,BR,10/23/20
Bell Ville,-32.63,-62.69,72.0,83,94,3.0,AR,10/23/20
Maun,-19.98,23.42,89.6,21,0,10.29,BW,10/23/20
Arrondissement de Fontenay-le-Comte,46.58,-1.0,55.4,87,75,4.7,FR,10/23/20
Banjar,-8.19,114.97,77.0,88,40,1.12,ID,10/23/20
Yangi Marg`ilon,40.43,71.72,44.6,75,94,4.7,UZ,10/23/20
Nālūt,30.33,10.85,77.65,23,0,9.66,LY,10/23/20
Boshnyakovo,49.63,142.17,47.93,91,100,7.0,RU,10/23/20
Kieta,-6.22,155.63,78.57,75,9,2.77,PG,10/23/20
Ginda,30.69,78.49,52.7,44,0,5.73,IN,10/23/20
Joensuu,62.6,29.76,34.0,89,75,11.41,FI,10/23/20
Moindou,-21.69,165.68,71.6,78,0,8.05,NC,10/23/20
Muscat,23.61,58.59,77.0,53,0,4.7,OM,10/23/20
Iraray,8.99,118.05,78.26,84,100,3.62,PH,10/23/20
Denia,38.84,0.11,69.01,46,35,5.01,ES,10/23/20
Singkang,2.1,102.8,78.8,94,40,3.36,MY,10/23/20
Mersing,2.43,103.84,78.8,94,100,0.72,MY,10/23/20
Elizabeth City,36.29,-76.25,77.0,69,1,10.29,US,10/23/20
Usinsk,65.99,57.53,18.95,96,22,10.69,RU,10/23/20
Vanimo,-2.67,141.3,77.85,82,71,2.44,PG,10/23/20
Taylor,32.3,-99.83,46.99,61,90,19.46,US,10/23/20
Naryan-Mar,67.67,53.09,20.41,95,61,9.78,RU,10/23/20
Channagiri,14.03,75.93,68.7,93,99,4.83,IN,10/23/20
Sabha,27.04,14.43,69.55,23,0,6.33,LY,10/23/20
Port Hedland,-20.32,118.57,71.6,94,0,12.75,AU,10/23/20
Pitsunda,43.16,40.34,57.2,87,0,2.24,GE,10/23/20
Fairview,40.81,-74.0,71.01,77,40,4.7,US,10/23/20
Shunyi,40.12,116.65,55.0,48,0,2.24,CN,10/23/20
Porto de Moz,-1.75,-52.24,92.37,48,100,4.16,BR,10/23/20
Abu Dhabi,24.47,54.37,82.4,65,0,2.24,AE,10/23/20
Caniço,32.63,-16.85,68.0,60,40,5.82,PT,10/23/20
Clyde River,70.47,-68.59,23.0,73,90,3.36,CA,10/23/20
Båtsfjord,70.63,29.72,39.2,86,75,38.03,NO,10/23/20
Calvinia,-31.47,19.78,71.76,35,0,4.38,ZA,10/23/20
Sørland,67.67,12.69,42.8,70,40,14.99,NO,10/23/20
Egvekinot,66.32,-179.17,23.74,95,6,11.9,RU,10/23/20
Paramonga,-10.67,-77.83,68.41,66,97,10.11,PE,10/23/20
Clearwater,27.97,-82.8,87.01,62,1,10.29,US,10/23/20
Suez,29.97,32.53,74.07,61,0,4.23,EG,10/23/20
Emerald,-23.53,148.17,69.8,100,40,4.7,AU,10/23/20
Roald,62.58,6.13,41.0,60,0,12.75,NO,10/23/20
Skoghall,59.32,13.47,35.6,100,96,5.88,SE,10/23/20
Klaksvík,62.23,-6.59,44.6,100,3,8.05,FO,10/23/20
Chapais,49.78,-74.85,32.0,99,90,9.17,CA,10/23/20
Bīrpur,26.52,87.02,72.54,90,2,5.23,IN,10/23/20
Gerāsh,27.67,54.14,64.4,27,0,1.54,IR,10/23/20
Ahome,25.92,-109.18,91.4,49,20,8.9,MX,10/23/20
Plettenberg Bay,-34.05,23.37,65.61,89,99,7.43,ZA,10/23/20
Whitehorse,60.72,-135.05,12.2,85,75,4.7,CA,10/23/20
Half Moon Bay,37.46,-122.43,68.0,68,1,5.82,US,10/23/20
Marion,39.77,-86.16,75.99,69,75,9.17,US,10/23/20
Staryy Nadym,65.61,72.68,14.45,94,59,9.8,RU,10/23/20
Oussouye,12.48,-16.55,84.2,83,20,4.7,SN,10/23/20
Santa Cruz del Sur,20.71,-78.0,82.65,75,78,16.42,CU,10/23/20
Metro,-5.11,105.31,76.08,85,100,4.45,ID,10/23/20
Kuusankoski,60.91,26.62,35.6,80,20,8.05,FI,10/23/20
Kushima,31.46,131.23,53.01,76,0,5.01,JP,10/23/20
Oxford,51.75,-1.26,48.2,87,0,10.29,GB,10/23/20
Meulaboh,4.14,96.13,78.13,86,99,3.56,ID,10/23/20
Sakaraha,-22.9,44.53,72.14,81,0,3.67,MG,10/23/20
Pacific Grove,36.62,-121.92,69.8,56,1,4.7,US,10/23/20
Mangalore,12.87,74.88,73.4,88,75,5.82,IN,10/23/20
Aksu,41.12,80.26,46.99,43,22,0.36,CN,10/23/20
Nuuk,64.18,-51.72,30.2,68,75,5.82,GL,10/23/20
Rakai,-0.72,31.48,63.48,79,75,2.26,UG,10/23/20
Phan Thiet,10.93,108.1,75.69,89,100,5.12,VN,10/23/20
Kondagaon,19.6,81.67,67.28,73,55,2.62,IN,10/23/20
Tabou,4.42,-7.35,77.83,87,96,6.11,CI,10/23/20
Santa Paula,34.35,-119.06,70.0,64,90,8.05,US,10/23/20
Morgan City,29.7,-91.21,82.4,88,40,3.85,US,10/23/20
Berlevåg,70.86,29.09,37.4,86,75,38.03,NO,10/23/20
Abhā,18.22,42.51,66.2,20,0,5.82,SA,10/23/20
Caravelas,-17.71,-39.25,75.43,84,89,7.07,BR,10/23/20
Sahuaripa,29.05,-109.23,91.9,26,0,3.42,MX,10/23/20
Clyde,41.3,-82.98,80.01,61,20,1.01,US,10/23/20
Trincomalee,8.57,81.23,79.7,80,100,13.22,LK,10/23/20
Narasannapeta,18.42,84.05,76.86,78,100,5.44,IN,10/23/20
Verkhnyaya Toyma,62.23,45.0,32.52,97,100,11.05,RU,10/23/20
Zaykovo,57.56,62.76,24.69,92,0,4.32,RU,10/23/20
Palmer,42.16,-72.33,68.0,82,90,6.93,US,10/23/20
Port-Gentil,-0.72,8.78,73.4,94,40,8.05,GA,10/23/20
Mahanoro,-19.9,48.8,72.54,83,66,2.71,MG,10/23/20
Pedra Azul,-16.01,-41.3,68.88,89,100,4.43,BR,10/23/20
Siemiatycze,52.43,22.86,51.01,90,100,6.89,PL,10/23/20
Ixtapa,20.7,-105.2,88.0,74,5,10.29,MX,10/23/20
Svetlaya,46.54,138.33,39.27,73,100,9.13,RU,10/23/20
Batagay-Alyta,67.8,130.41,9.48,91,100,4.21,RU,10/23/20
Madera,37.17,-119.83,75.0,38,0,3.0,US,10/23/20
Khuzhir,53.19,107.34,39.58,73,39,0.98,RU,10/23/20
Sur,22.57,59.53,73.13,64,0,4.76,OM,10/23/20
Mehamn,71.04,27.85,37.4,86,75,24.16,NO,10/23/20
Caruray,10.31,119.01,77.0,94,90,4.7,PH,10/23/20
Nelson Bay,-32.72,152.15,69.01,93,40,5.82,AU,10/23/20
La Motte-Servolex,45.59,5.88,57.99,87,90,11.41,FR,10/23/20
Tilichiki,60.47,166.1,29.41,96,0,5.64,RU,10/23/20
Kutum,14.2,24.67,78.62,16,0,14.99,SD,10/23/20
Biskamzha,53.45,89.53,32.2,96,100,4.47,RU,10/23/20
Presidencia Roque Sáenz Peña,-26.79,-60.44,76.23,85,94,8.55,AR,10/23/20
Kudahuvadhoo,2.67,72.89,81.99,79,0,13.29,MV,10/23/20
Enshi,30.3,109.48,60.46,76,94,0.47,CN,10/23/20
Chimoio,-19.12,33.48,71.6,83,20,6.93,MZ,10/23/20
Pontes e Lacerda,-15.23,-59.34,97.81,32,17,5.41,BR,10/23/20
Xinmin,41.99,122.83,24.8,79,0,2.24,CN,10/23/20
Solnechnyy,50.72,136.63,27.99,96,100,22.66,RU,10/23/20
Chapleau,47.84,-83.4,32.0,99,90,11.41,CA,10/23/20
Fengxian,34.7,116.59,47.39,48,0,1.74,CN,10/23/20
Yerbogachën,61.28,108.01,26.19,97,100,4.88,RU,10/23/20
Nome,64.5,-165.41,30.2,86,90,14.99,US,10/23/20
Luoyang,34.68,112.45,53.01,99,0,3.47,CN,10/23/20
Trofors,65.53,13.41,33.8,87,75,4.7,NO,10/23/20
Mogadishu,2.04,45.34,80.55,83,100,15.03,SO,10/23/20
Rawlins,41.79,-107.24,32.0,46,1,8.05,US,10/23/20
Aykhal,66.0,111.5,21.2,62,90,13.42,RU,10/23/20
Sandakan,5.84,118.12,78.8,94,20,2.24,MY,10/23/20
Genhe,50.78,121.52,21.92,93,0,2.21,CN,10/23/20
Milos,36.75,24.43,68.0,82,0,5.82,GR,10/23/20
Atasū,48.68,71.64,28.08,87,0,7.87,KZ,10/23/20
Antofagasta,-23.65,-70.4,62.6,67,20,13.87,CL,10/23/20
Muyezerskiy,63.93,31.65,27.77,97,100,9.93,RU,10/23/20
Sungai Penuh,-2.08,101.38,66.88,91,100,1.01,ID,10/23/20
Yarmouth,41.71,-70.23,66.2,68,1,9.17,US,10/23/20
Sangerhausen,51.47,11.3,55.99,91,100,8.84,DE,10/23/20
São Luís,-2.53,-44.3,87.8,66,20,19.46,BR,10/23/20
Ankang,32.68,109.02,55.58,65,100,3.33,CN,10/23/20
Okha,53.57,142.95,45.72,92,100,33.22,RU,10/23/20
Padang,-0.95,100.35,79.83,77,100,3.09,ID,10/23/20
Mount Gambier,-37.83,140.77,50.0,87,90,10.29,AU,10/23/20
Tefé,-3.35,-64.71,89.6,66,20,6.93,BR,10/23/20
